3.804913267669246579e+01 2.240260854848638017e-01 1.619523999999999978e+04 5.402158200740814209e-02 -2.002714538574218750e+01 1.593906974792480469e+01 9.943199999999999816e-01 9.255199432373046875e-01 1.024463939666748047e+01
3.835252623890426094e+01 2.124909347726673947e-01 1.613407999999999993e+04 5.381757766008377075e-02 -1.918326759338378906e+01 1.678604698181152344e+01 1.000000000000000000e+00 8.401031494140625000e-01 9.862250328063964844e+00
3.836359753142755835e+01 2.106539250542432684e-01 1.620385000000000036e+04 5.405029654502868652e-02 -2.088623237609863281e+01 1.509029960632324219e+01 1.000000000000000000e+00 7.778453826904296875e-01 1.060433483123779297e+01
5.493681868207261232e+01 2.167940325587715822e-01 6.034123000000000320e+04 2.012770026922225952e-01 -2.186523818969726562e+01 1.736128425598144531e+01 1.000000000000000000e+00 9.375343322753906250e-01 1.097728157043457031e+01
5.445034081911336443e+01 5.726062441404625725e-01 4.152230000000000291e+04 1.385036855936050415e-01 -2.062943458557128906e+01 1.760403442382812500e+01 9.777799999999999825e-01 8.642940521240234375e-01 1.023984909057617188e+01
5.453488061000655307e+01 5.786147673006947212e-01 3.865976999999999680e+04 1.289552897214889526e-01 -2.064669036865234375e+01 1.741540145874023438e+01 9.777799999999999825e-01 9.060001373291015625e-01 1.018674373626708984e+01
5.474307528362942321e+01 5.087737328661261493e-01 5.499219999999999709e+04 1.834345012903213501e-01 -2.151878929138183594e+01 1.745330429077148438e+01 1.000000000000000000e+00 9.893264770507812500e-01 1.085126495361328125e+01
5.486724049429369643e+01 5.626357630072230664e-01 4.186925000000000000e+04 1.396609991788864136e-01 -2.083556365966796875e+01 1.741962432861328125e+01 1.000000000000000000e+00 8.934383392333984375e-01 1.053211402893066406e+01
5.485690794371043921e+01 5.440309110328851450e-01 4.181447000000000116e+04 1.394782662391662598e-01 -2.102015686035156250e+01 1.723414230346679688e+01 1.000000000000000000e+00 8.915882110595703125e-01 1.079642772674560547e+01
5.497774803998601101e+01 5.019120520780930850e-01 4.176765000000000146e+04 1.393220871686935425e-01 -2.100206565856933594e+01 1.724243354797363281e+01 9.952199999999999935e-01 7.435607910156250000e-01 1.052286338806152344e+01
5.499276193838090876e+01 4.603758650085646997e-01 3.816786000000000058e+04 1.273144781589508057e-01 -2.081608772277832031e+01 1.718600273132324219e+01 9.952199999999999935e-01 5.837135314941406250e-01 1.043525791168212891e+01
5.521622069619513695e+01 5.218139787545388320e-01 4.186083999999999651e+04 1.396329402923583984e-01 -2.078793525695800781e+01 1.744563484191894531e+01 9.952199999999999935e-01 7.156524658203125000e-01 1.039083671569824219e+01
5.524088780770551921e+01 4.630202917358501868e-01 4.163465000000000146e+04 1.388784646987915039e-01 -2.063939476013183594e+01 1.760266494750976562e+01 9.952199999999999935e-01 8.383445739746093750e-01 1.034706497192382812e+01
5.524186690375972830e+01 5.481190066352695789e-01 4.167751999999999680e+04 1.390214562416076660e-01 -2.090690803527832031e+01 1.734176254272460938e+01 9.952199999999999935e-01 9.124622344970703125e-01 1.091453456878662109e+01
5.521382287027449820e+01 4.342492920630174891e-01 6.141069999999999709e+03 2.048444934189319611e-02 -1.642722129821777344e+01 1.740470123291015625e+01 9.952199999999999935e-01 3.524913787841796875e-01 8.203456878662109375e+00
